
> vite@0.0.0 dev
> vite dev --host 0.0.0.0 --port 3000


  VITE v6.2.5  ready in 373 ms

  ➜  Local:   http://localhost:3000/
  ➜  Network: http://172.17.0.2:3000/
1:37:30 PM [vite] vite.config.js changed, restarting server...
1:37:30 PM [vite] server restarted.
1:37:32 PM [vite] (client) page reload index.html
1:37:33 PM [vite] (client) page reload index.html
1:37:38 PM [vite] (client) page reload index.html
1:37:38 PM [vite] (client) page reload index.html
1:37:45 PM [vite] (client) page reload index.html
1:37:45 PM [vite] (client) page reload index.html
1:37:51 PM [vite] (client) page reload index.html
1:37:51 PM [vite] (client) page reload index.html
1:37:57 PM [vite] (client) page reload index.html
1:37:57 PM [vite] (client) page reload index.html
1:38:03 PM [vite] (client) page reload index.html
1:38:03 PM [vite] (client) page reload index.html
1:38:09 PM [vite] (client) page reload index.html
1:38:09 PM [vite] (client) page reload index.html
1:38:15 PM [vite] (client) page reload index.html
1:38:15 PM [vite] (client) page reload index.html
1:38:21 PM [vite] (client) page reload index.html
1:38:21 PM [vite] (client) page reload index.html
1:38:28 PM [vite] (client) page reload index.html
1:38:28 PM [vite] (client) page reload index.html
1:38:34 PM [vite] (client) page reload index.html
1:38:34 PM [vite] (client) page reload index.html
1:38:40 PM [vite] (client) page reload index.html
1:38:40 PM [vite] (client) page reload index.html
1:38:46 PM [vite] (client) page reload index.html
1:38:46 PM [vite] (client) page reload index.html
1:38:52 PM [vite] (client) page reload index.html
1:38:52 PM [vite] (client) page reload index.html
1:38:58 PM [vite] (client) page reload index.html
1:38:58 PM [vite] (client) page reload index.html
1:39:05 PM [vite] (client) page reload index.html
1:39:05 PM [vite] (client) page reload index.html
1:39:11 PM [vite] (client) page reload index.html
1:39:11 PM [vite] (client) page reload index.html
1:39:17 PM [vite] (client) page reload index.html
1:39:17 PM [vite] (client) page reload index.html
1:39:23 PM [vite] (client) page reload index.html
1:39:23 PM [vite] (client) page reload index.html
1:39:29 PM [vite] (client) page reload index.html
1:39:29 PM [vite] (client) page reload index.html
1:39:35 PM [vite] (client) page reload index.html
1:39:41 PM [vite] (client) page reload index.html
1:39:41 PM [vite] (client) page reload index.html
1:39:48 PM [vite] (client) page reload index.html
1:39:48 PM [vite] (client) page reload index.html
1:39:54 PM [vite] (client) page reload index.html
1:39:54 PM [vite] (client) page reload index.html
1:40:00 PM [vite] (client) page reload index.html
1:40:00 PM [vite] (client) page reload index.html
1:40:06 PM [vite] (client) page reload index.html
1:40:06 PM [vite] (client) page reload index.html
1:40:12 PM [vite] (client) page reload index.html
1:40:18 PM [vite] (client) page reload index.html
1:40:18 PM [vite] (client) page reload index.html
1:40:24 PM [vite] (client) page reload index.html
1:40:25 PM [vite] (client) page reload index.html
1:40:31 PM [vite] (client) page reload index.html
1:40:31 PM [vite] (client) page reload index.html
1:40:37 PM [vite] (client) page reload index.html
1:40:37 PM [vite] (client) page reload index.html
1:40:43 PM [vite] (client) page reload index.html
1:40:43 PM [vite] (client) page reload index.html
1:40:49 PM [vite] (client) page reload index.html
1:40:49 PM [vite] (client) page reload index.html
1:40:55 PM [vite] (client) page reload index.html
1:40:55 PM [vite] (client) page reload index.html
